Time,Number of Pedestrian,Danger groups,Risk Factor
2022-10-31 21:15:40,4,1,50.00%
2022-10-31 21:15:40,4,1,50.00%
2022-10-31 21:15:40,4,1,50.00%
2022-10-31 21:15:40,4,1,50.00%
2022-10-31 21:15:40,4,1,50.00%
2022-10-31 21:15:40,4,1,50.00%
2022-10-31 21:15:41,4,1,50.00%
2022-10-31 21:15:41,4,1,75.00%
2022-10-31 21:15:41,4,1,75.00%
2022-10-31 21:15:41,4,1,75.00%
2022-10-31 21:15:41,4,1,75.00%
2022-10-31 21:15:41,4,1,75.00%
2022-10-31 21:15:41,4,1,75.00%
2022-10-31 21:15:41,3,1,66.67%
2022-10-31 21:15:41,3,1,66.67%
2022-10-31 21:15:41,3,1,66.67%
2022-10-31 21:15:42,4,1,50.00%
2022-10-31 21:15:42,4,1,50.00%
2022-10-31 21:15:42,4,1,50.00%
2022-10-31 21:15:42,4,1,50.00%
2022-10-31 21:15:42,4,1,50.00%
2022-10-31 21:15:42,5,1,60.00%
2022-10-31 21:15:42,5,1,60.00%
2022-10-31 21:15:42,4,1,75.00%
2022-10-31 21:15:42,4,1,75.00%
2022-10-31 21:15:42,4,1,75.00%
2022-10-31 21:15:43,4,1,75.00%
2022-10-31 21:15:43,4,1,75.00%
2022-10-31 21:15:43,4,1,75.00%
2022-10-31 21:15:43,4,1,75.00%
2022-10-31 21:15:43,4,1,75.00%
2022-10-31 21:15:43,4,1,75.00%
2022-10-31 21:15:43,4,1,75.00%
2022-10-31 21:15:43,4,1,75.00%
2022-10-31 21:15:44,4,1,75.00%
2022-10-31 21:15:44,5,1,60.00%
2022-10-31 21:15:44,5,1,60.00%
2022-10-31 21:15:44,5,1,60.00%
2022-10-31 21:15:44,5,1,60.00%
2022-10-31 21:15:44,5,1,60.00%
2022-10-31 21:15:44,5,1,60.00%
2022-10-31 21:15:44,5,1,60.00%
2022-10-31 21:15:44,5,1,60.00%
2022-10-31 21:15:44,5,1,60.00%
2022-10-31 21:15:45,5,1,60.00%
2022-10-31 21:15:45,5,1,60.00%
2022-10-31 21:15:45,5,1,60.00%
2022-10-31 21:15:45,4,1,75.00%
2022-10-31 21:15:45,4,1,75.00%
2022-10-31 21:15:45,4,1,75.00%
2022-10-31 21:15:45,4,1,75.00%
2022-10-31 21:15:45,4,1,75.00%
2022-10-31 21:15:45,4,1,75.00%
2022-10-31 21:15:45,4,1,50.00%
2022-10-31 21:15:46,4,1,50.00%
2022-10-31 21:15:46,4,1,50.00%
2022-10-31 21:15:46,4,1,50.00%
2022-10-31 21:15:46,5,1,40.00%
2022-10-31 21:15:46,5,1,40.00%
2022-10-31 21:15:46,5,1,40.00%
2022-10-31 21:15:46,5,1,40.00%
2022-10-31 21:15:46,5,1,40.00%
2022-10-31 21:15:46,5,1,40.00%
2022-10-31 21:15:46,5,1,40.00%
2022-10-31 21:15:47,5,1,40.00%
2022-10-31 21:15:47,5,1,40.00%
2022-10-31 21:15:47,5,1,40.00%
2022-10-31 21:15:47,4,1,50.00%
2022-10-31 21:15:47,4,1,50.00%
2022-10-31 21:15:47,4,1,50.00%
2022-10-31 21:15:47,4,1,50.00%
2022-10-31 21:15:47,4,1,50.00%
2022-10-31 21:15:47,4,1,50.00%
2022-10-31 21:15:47,4,1,50.00%
2022-10-31 21:15:48,4,1,50.00%
2022-10-31 21:15:48,4,1,50.00%
2022-10-31 21:15:48,4,1,50.00%
2022-10-31 21:15:48,4,1,50.00%
2022-10-31 21:15:55,4,1,50.00%
2022-10-31 21:15:55,4,1,50.00%
2022-10-31 21:15:55,4,1,50.00%
2022-10-31 21:15:55,4,1,50.00%
2022-10-31 21:15:55,4,1,50.00%
2022-10-31 21:15:56,4,1,50.00%
2022-10-31 21:15:56,4,1,50.00%
2022-10-31 21:15:56,4,1,50.00%
2022-10-31 21:15:56,4,1,50.00%
2022-10-31 21:15:56,4,1,50.00%
2022-10-31 21:15:56,4,1,50.00%
2022-10-31 21:15:56,4,1,50.00%
2022-10-31 21:15:56,4,1,50.00%
2022-10-31 21:15:56,4,1,50.00%
2022-10-31 21:15:56,4,1,50.00%
2022-10-31 21:15:57,4,1,50.00%
2022-10-31 21:15:57,4,1,50.00%
2022-10-31 21:15:57,4,1,50.00%
2022-10-31 21:15:57,4,1,50.00%
2022-10-31 21:15:57,4,1,50.00%
2022-10-31 21:15:57,4,1,50.00%
2022-10-31 21:15:57,4,1,50.00%
2022-10-31 21:15:57,4,1,50.00%
2022-10-31 21:15:57,4,1,50.00%
2022-10-31 21:15:57,4,1,50.00%
2022-10-31 21:15:58,4,1,50.00%
2022-10-31 21:15:58,4,1,50.00%
2022-10-31 21:15:58,4,1,50.00%
2022-10-31 21:15:58,4,1,50.00%
2022-10-31 21:15:58,4,1,50.00%
2022-10-31 21:15:58,4,1,50.00%
2022-10-31 21:15:58,4,1,50.00%
2022-10-31 21:15:58,4,1,50.00%
2022-10-31 21:15:58,4,1,50.00%
2022-10-31 21:15:58,4,1,50.00%
2022-10-31 21:15:59,4,1,50.00%
2022-10-31 21:15:59,4,1,50.00%
2022-10-31 21:15:59,4,1,50.00%
2022-10-31 21:15:59,4,1,50.00%
2022-10-31 21:15:59,4,1,50.00%
2022-10-31 21:15:59,4,1,50.00%
2022-10-31 21:15:59,4,1,50.00%
2022-10-31 21:15:59,4,1,50.00%
2022-10-31 21:15:59,4,1,50.00%
2022-10-31 21:15:59,4,1,50.00%
2022-10-31 21:16:00,4,1,50.00%
2022-10-31 21:16:00,4,1,50.00%
2022-10-31 21:16:00,4,1,50.00%
2022-10-31 21:16:00,4,1,50.00%
2022-10-31 21:16:00,4,1,50.00%
2022-10-31 21:16:00,4,1,50.00%
2022-10-31 21:16:00,5,1,40.00%
2022-10-31 21:16:00,5,1,40.00%
2022-10-31 21:16:00,5,1,40.00%
2022-10-31 21:16:01,5,1,40.00%
2022-10-31 21:16:01,5,1,40.00%
2022-10-31 21:16:01,5,1,40.00%
2022-10-31 21:16:01,5,1,40.00%
2022-10-31 21:16:01,5,1,40.00%
2022-10-31 21:16:03,4,1,50.00%
2022-10-31 21:16:03,3,1,66.67%
2022-10-31 21:16:03,3,1,66.67%
2022-10-31 21:16:03,3,1,66.67%
2022-10-31 21:16:03,3,1,66.67%
2022-10-31 21:16:03,3,1,66.67%
2022-10-31 21:16:04,3,1,66.67%
2022-10-31 21:16:04,3,1,66.67%
2022-10-31 21:16:04,3,1,66.67%
2022-10-31 21:16:04,3,1,66.67%
2022-10-31 21:16:04,3,1,66.67%
2022-10-31 21:16:04,3,1,66.67%
2022-10-31 21:16:04,3,1,66.67%
2022-10-31 21:16:04,4,1,75.00%
2022-10-31 21:16:04,4,1,75.00%
2022-10-31 21:16:04,4,1,75.00%
2022-10-31 21:16:05,4,1,75.00%
2022-10-31 21:16:05,4,1,75.00%
2022-10-31 21:16:05,4,1,75.00%
2022-10-31 21:16:05,4,1,75.00%
2022-10-31 21:16:05,4,1,75.00%
2022-10-31 21:16:05,4,1,75.00%
2022-10-31 21:16:05,4,1,75.00%
2022-10-31 21:16:05,4,1,75.00%
2022-10-31 21:16:05,4,1,75.00%
2022-10-31 21:16:05,5,1,60.00%
2022-10-31 21:16:06,5,1,60.00%
2022-10-31 21:16:06,5,1,60.00%
2022-10-31 21:16:06,5,1,60.00%
2022-10-31 21:16:06,5,1,60.00%
2022-10-31 21:16:06,5,1,60.00%
2022-10-31 21:16:06,5,1,60.00%
2022-10-31 21:16:06,4,1,75.00%
2022-10-31 21:16:06,4,1,75.00%
2022-10-31 21:16:06,4,1,75.00%
2022-10-31 21:16:06,5,1,60.00%
2022-10-31 21:16:07,5,1,60.00%
2022-10-31 21:16:07,5,1,60.00%
2022-10-31 21:16:07,5,1,60.00%
2022-10-31 21:16:07,5,1,60.00%
2022-10-31 21:16:07,5,1,60.00%
2022-10-31 21:16:07,5,1,60.00%
2022-10-31 21:16:07,4,1,75.00%
2022-10-31 21:16:07,4,1,75.00%
2022-10-31 21:16:07,4,1,75.00%
2022-10-31 21:16:09,5,1,80.00%
2022-10-31 21:16:09,5,1,80.00%
2022-10-31 21:16:09,5,1,80.00%
2022-10-31 21:16:09,5,1,80.00%
2022-10-31 21:16:09,5,1,80.00%
2022-10-31 21:16:09,5,1,80.00%
2022-10-31 21:16:09,5,1,80.00%
2022-10-31 21:16:09,5,1,80.00%
